name,age,birthday,league,season,position,current_club,minutes_played_overall,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Aaron Cresswell,31,12/15/1989,Premier League,2018/2019,Defender,West Ham United,1589,England,0,1,0,1,0
Aaron Lennon,33,4/16/1987,Premier League,2018/2019,Midfielder,Burnley,1217,England,1,1,0,1,0
Aaron Mooy,30,9/15/1990,Premier League,2018/2019,Midfielder,Huddersfield Town,2327,Australia,3,1,1,4,0
Aaron Ramsey,30,12/26/1990,Premier League,2018/2019,Midfielder,Arsenal,1327,Wales,4,6,0,0,0
Aaron Rowe,20,9/7/2000,Premier League,2018/2019,Forward,Huddersfield Town,69,England,0,0,0,0,0
Aaron Wan-Bissaka,23,11/26/1997,Premier League,2018/2019,Midfielder,Crystal Palace,3135,England,0,3,0,5,1
Abdelhamid Sabiri,24,11/28/1996,Premier League,2018/2019,Midfielder,Huddersfield Town,49,Morocco,0,0,0,0,0
Abdoulaye Doucouré,28,1/1/1993,Premier League,2018/2019,Midfielder,Watford,3062,France,5,6,0,7,0
Aboubakar Kamara,26,3/7/1995,Premier League,2018/2019,Forward,Fulham,687,France,3,0,1,2,0
Adalberto Peñaranda Maestre,23,5/31/1997,Premier League,2018/2019,Forward,Watford,0,Venezuela,0,0,0,0,0
Adam David Lallana,32,5/10/1988,Premier League,2018/2019,Midfielder,Liverpool,465,England,0,0,0,1,0
Adam Masina,27,1/2/1994,Premier League,2018/2019,Defender,Watford,1003,Italy,0,1,0,5,0
Adam Smith,29,4/29/1991,Premier League,2018/2019,Defender,AFC Bournemouth,2073,England,1,1,0,6,1
Adama Diakhaby,24,7/5/1996,Premier League,2018/2019,Forward,Huddersfield Town,551,France,0,0,0,1,0
Adama Traoré Diarra,25,1/25/1996,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,890,Spain,1,1,0,1,0
Ademola Lookman,23,10/20/1997,Premier League,2018/2019,Forward,Everton,601,England,0,2,0,0,0
Adrian Mariappa,34,10/3/1986,Premier League,2018/2019,Defender,Watford,1921,Jamaica,0,0,0,3,0
Adrián San Miguel del Castillo,34,1/3/1987,Premier League,2018/2019,Goalkeeper,West Ham United,0,Spain,0,0,0,0,0
Adrien Sebastian Perruchet Silva,32,3/15/1989,Premier League,2018/2019,Midfielder,Leicester City,88,Portugal,0,0,0,0,0
Ainsley Maitland-Niles,23,8/29/1997,Premier League,2018/2019,Midfielder,Arsenal,985,England,1,1,0,3,1
Alberto Moreno,28,7/5/1992,Premier League,2018/2019,Defender,Liverpool,155,Spain,0,0,0,0,0
Aleksandar Mitrović,26,9/16/1994,Premier League,2018/2019,Forward,Fulham,3282,Serbia,11,3,1,7,0
Alex Iwobi,24,5/3/1996,Premier League,2018/2019,Forward,Arsenal,1972,Nigeria,3,6,0,0,0
